,Ann Return (%),Ann Vol (%),Sharpe,Skewness,Kurtosis,Max DD (%),Coverage (%)
DOL,26.8016,22.702,1.1806,0.1371,13.7144,-46.6273,100.0
CSU,29.14,25.6259,1.1371,0.2419,4.6116,-55.8293,100.0
SHOP,52.0997,56.9821,0.9143,0.3445,5.0842,-83.4706,66.5615
ATD,22.9016,26.9802,0.8488,0.1186,6.2068,-32.6111,100.0
WCN,16.03,20.3879,0.7863,-0.1403,9.9733,-28.1188,100.0
CLS,30.9666,41.1988,0.7516,-0.1354,13.238,-79.3225,100.0
DSG,19.9384,26.6604,0.7479,0.0377,5.0189,-48.4259,100.0
SPY (SPY),12.4763,17.0763,0.7306,-0.3325,12.2809,-34.1047,100.0
KXS,25.4987,36.6354,0.696,-0.0946,7.1095,-47.608,72.4581
CP,16.7519,24.1492,0.6937,0.0667,8.9535,-38.2129,100.0
GIB/A,15.3193,22.7209,0.6742,0.7211,12.3885,-39.7798,100.0
RY,10.1106,17.1863,0.5883,0.2875,22.5946,-33.9338,100.0
CNR,11.5022,19.8716,0.5788,-0.275,6.3724,-29.268,100.0
TD,10.0469,17.9148,0.5608,0.3422,31.6177,-38.1914,100.0
DOO,20.7479,40.3189,0.5146,0.0255,11.1269,-73.6139,78.9857
BMO,9.3354,18.8229,0.496,-0.5595,33.804,-48.0798,100.0
MG,15.0486,31.311,0.4806,-0.2146,10.1758,-64.9393,100.0
IVN,24.97,56.2018,0.4443,0.3385,3.3169,-89.8113,82.6256
AEM,16.8482,38.605,0.4364,0.056,4.1753,-71.7325,100.0
FTS,7.2161,16.6744,0.4328,-0.3911,15.2274,-28.2679,100.0
CCO,17.1959,40.0509,0.4294,0.4972,7.5939,-81.5253,100.0
QSR,11.4044,26.681,0.4274,0.0714,18.4518,-61.0765,69.2793
ENB,8.7013,21.3657,0.4073,-0.1251,27.8281,-47.836,100.0
OTEX,10.6048,27.7186,0.3826,0.7672,18.5341,-54.4787,100.0
T,6.5664,17.4232,0.3769,-0.8347,21.9672,-49.448,100.0
TRP,7.7639,21.0915,0.3681,-0.3288,38.2416,-40.5339,100.0
CNQ,12.5889,35.4788,0.3548,-0.2216,21.0793,-77.5886,100.0
BNS,6.1456,18.1093,0.3394,-0.08,26.7013,-44.9511,100.0
SU,8.989,32.0582,0.2804,0.3763,16.2439,-72.8212,100.0
TCL/A,8.2825,30.4886,0.2717,0.3475,8.3663,-70.4762,100.0
ABX,9.6826,37.3209,0.2594,0.0783,3.3597,-85.7014,100.0
BCE,2.6302,16.3176,0.1612,-1.0065,20.2646,-60.3172,100.0
